genre_code,genre_name,male_review_average,female_review_average,male_review_count,female_review_count
animation,Animation,0.30673234243014946,0.3622099935938501,6156,1561
cult,Cult,0.06785482352941176,0.1846095238095238,425,42
action,Action & Adventure,0.16647329302816563,0.21030884821636744,41682,8578
romance,Romance,0.2801330974064542,0.31280215013202567,20204,5302
faith,Faith & Spirituality,0.2097281395348837,0.1938974683544304,430,79
musical,Musical & Performing Arts,0.2779465944676409,0.3217348320693391,7664,1846
queer,Queer,0.3514444444444444,0.40692463768115944,252,69
television,Television,0.26079636363636366,0.22837819548872182,1155,266
horror,Horror,0.01576005479452055,0.03586997742663657,14600,2658
classics,Classics,0.24803583877995644,0.2782147663551402,8262,1070
comedy,Comedy,0.2577437874939199,0.28506201195660197,55509,13549
fitness,Fitness,0.2866222880853586,0.27882763157894735,1687,380
family,Kids & Family,0.26602709779805594,0.3196851336506774,10082,2731
documentary,Documentary,0.2099643797157396,0.221891689373297,11398,2936
art,Art House & International,0.18908578056590214,0.2140464232710003,15303,3369
mystery,Mystery,0.10380608915619112,0.12378600277672598,38741,7923
anime,Anime & Manga,0.30218666666666666,0.2076,30,9
scifi,Science Fiction & Fantasy,0.2083387008353637,0.2634080263668088,22984,5158
western,Western,0.16992507568113016,0.14652298507462685,1982,335
drama,Drama,0.19293340968890266,0.21626052016889769,96915,22262
