review_year,compound_score,genre,num_reviews
2000,0.20101764077521747,drama,6553
2001,0.17756158,drama,5000
2002,0.2150175464684015,drama,6725
2003,0.21775533685064938,drama,4928
2004,0.18387993281471007,drama,5656
2005,0.19022642515630744,drama,5438
2006,0.17927856723429242,drama,6812
2007,0.18483415009801174,drama,7142
2008,0.1605909549689441,drama,7728
2009,0.1919341473259334,drama,9910
2010,0.16188628771551725,drama,7424
2011,0.17087761621502534,drama,4539
2012,0.20698162076271187,drama,3776
2013,0.20232605288932418,drama,5105
2014,0.19238225382932167,drama,4570
2015,0.1887980458986594,drama,4401
2016,0.2217005171700455,drama,4834
2017,0.2311280500839823,drama,6549
2018,0.23441971863204847,drama,8743
2019,0.23249841226760753,drama,7369
2020,0.1975319118351701,drama,4174
